er,fr
"I don't want to lose my ideas, even though some of them are a bit extreme.","Je ne veux pas perdre mes idées, même si certaines d'entre elles sont un peu extrêmes."
I think I have a theory about that.,Je pense que j'ai une théorie à ce sujet.
That is intriguing.,C'est intrigant.
You are saying you intentionally hide your good looks?,Tu es en train de dire que tu caches intentionnellement ta beauté ?
I do not have an account in these forums.,Je n’ai pas de compte sur ces forums.
"If anyone was to ask what the point of the story is, I really don't know.","Si quelqu'un devait demander quel est le but de l'histoire, je ne saurais vraiment pas."
I didn't know where it came from.,Je ne savais pas d'où ça venait.
I think my living with you has influenced your way of living.,Je pense que le fait que j'ai vécu avec toi a influencé la façon dont tu vis.
This is not important.,Ce n'est pas important.
I didn't like it.,Je n'ai pas aimé.
I didn't like it.,Ça ne me plaisait pas.
She's asking how that's possible.,Elle demande comment c’est possible.
You're just running away from life's problems.,Tu ne fais que fuir les problèmes de la vie.
"If you look at the lyrics, they don't really mean much.","Si tu regardes les paroles, elles ne signifient pas vraiment grand-chose."
There's a problem there that you don't see.,Il y a un problème que tu ne vois pas.
You can do it.,Tu peux le faire !
You can do it.,Tu peux y arriver.
You can do it.,"C'est bon, tu peux le faire."
You can do it.,Tu peux le faire.
You can do it.,Vous pouvez y arriver.
My physics teacher doesn't care if I skip classes.,Mon prof de physique s'en fiche si je sèche les cours.
I wish I could go to Japan.,J'aimerais bien pouvoir aller au Japon.
I hate it when there are a lot of people.,Je déteste ça quand il y a trop de gens.
I have to go to bed.,Je dois aller au lit.
I have to go to bed.,Je dois aller dormir.
"After that, I left, but then I realized that I forgot my backpack at their house.","Après ça, je pars, mais je me rends compte que j'ai oublié mon sac chez eux."
I won't ask you anything else today.,Je ne t'en demanderai pas plus pour aujourd'hui.
It may freeze next week.,Il se peut qu'il gèle la semaine prochaine.
"Even though he apologized, I'm still furious.","Même s'il s'est excusé, je suis encore en colère."
The police will get you to find the bullets.,La police vous fera trouver les balles.
Thanks for having explained to me at last why people take me for an idiot.,Merci de m'avoir expliqué finalement pourquoi on me prend pour une imbécile.
That wasn't my intention.,Ce n'était pas mon intention.
Thanks for your explanation.,Merci pour ton explication.
Thanks for your explanation.,Merci pour votre explication.
"Theoretically, I'm doing math.","Théoriquement, je suis en train de faire des maths."
"Theoretically, I'm doing math.","En théorie, je suis en train de faire des maths."
If you didn't know me that way then you simply didn't know me.,Si tu ne me connaissais pas comme ça alors tu ne me connaissais pas tout court.
It almost scared me not to see you online for a whole day.,Ça m'a presque fait peur de ne pas te voir connectée pendant toute une journée.
I don't know what you mean.,Je ne sais pas ce que tu veux dire.
My computer has got to be useful for something.,Il faut bien que mon ordinateur me serve à quelque chose.
You wanted to tell me about freedom?,Tu voulais me parler de liberté ?
"Uh, now it's really weird...","Euh, là c'est vraiment bizarre..."
"If I wanted to scare you, I would tell you what I dreamt about a few weeks ago.","Si je voulais te faire peur, je te raconterais ce dont j'ai rêvé il y a quelques semaines."
One can't expect everything from schools.,On ne peut pas tout attendre des écoles.
There are many words that I don't understand.,Il y a beaucoup de mots que je ne comprends pas.
There are many words that I don't understand.,Il y a de nombreux mots que je ne comprends pas.
I don't like it when mathematicians who know much more than I do can't express themselves explicitly.,Je n'aime pas quand les mathématiciens qui en savent beaucoup plus que moi ne savent pas s'exprimer explicitement.
You're really not stupid.,T'es vraiment pas bête.
I need to ask you a silly question.,Je dois te poser une question idiote.
"I don't know how to demonstrate it, since it's too obvious!",Je ne sais pas comment le démontrer vu que c'est trop évident !
"I wouldn't have thought I would someday look up ""Viagra"" in Wikipedia.",J'aurais pas imaginé qu'un jour j'irais chercher « viagra » dans Wikipédia.
Can it be phrased in another way?,Est-ce qu'on peut formuler ça d'une autre manière ?
No one will know.,Personne ne saura.
No one will know.,Personne ne le saura.
"I found a solution, but I found it so fast that it can't be the right solution.","J'ai trouvé une solution, mais je l'ai trouvée tellement vite que ça peut pas être la bonne."
It seems interesting to me.,Ça me paraît intéressant !
"Except that here, it's not so simple.","Sauf que là, c'est pas si simple."
I like candlelight.,"Moi, j'aime bien la lumière des bougies."
I like candlelight.,J’aime la lumière des bougies.
I like candlelight.,J'aime bien la lumière des bougies.
What did you answer?,Qu'est-ce que tu as répondu ?
What did you answer?,Qu'as-tu répondu ?
What did you answer?,Qu'avez-vous répondu ?
"No, he's not my new boyfriend.","Non, c'est pas mon nouveau petit ami."
It's too bad that I don't need to lose weight.,C'est dommage que je n'aie pas besoin de maigrir.
You never have class or what?!,T'as jamais cours ou quoi ? !
I will play Sudoku then instead of continuing to bother you.,Je vais donc jouer au Sudoku au lieu de continuer de te déranger.
Where is the problem?,Où est le problème ?
I can only wait.,Je ne peux qu'attendre.
"It's not much of a surprise, is it?","Ce n'est pas tellement une surprise, non ?"
I love you.,Je t'aime !
I love you.,Je vous aime.
I love you.,Je t'adore.
I love you.,Je t'aime.
I don't like you anymore.,Je ne t'aime plus.
I don't like you anymore.,Tu ne me plais plus.
I am curious.,Je suis curieux.
Congratulations!,Félicitations.
I don't want to wait that long.,Je ne veux pas attendre aussi longtemps.
Why don't you come visit us?,Pourquoi ne viens-tu pas nous voir ?
But the possibility seems unlikely.,Mais la possibilité semble improbable.
I shouldn't have logged off.,Je n'aurais pas dû me déconnecter.
I don't know what to do anymore.,Je ne sais plus quoi faire.
"It is inevitable that I go to France someday, I just don't know when.","C'est inévitable que j'aille en France un jour, je ne sais juste pas quand."
I hate chemistry.,Je déteste la chimie.
I didn't want this to happen.,Je ne voulais pas que ça arrive.
You can probably guess what happens though.,Tu devines probablement ce qui va arriver.
"Next thing you know, you'll be in the papers.","Avant même que tu ne le saches, tu seras dans les journaux."
What other options do I have?,Quelles autres options ai-je ?
I am not much of a traveller.,Je ne suis pas un grand voyageur.
I have nothing better to do.,Je n'ai rien de mieux à faire.
I can't explain it either.,Je ne peux pas l'expliquer non plus.
Everyone has strengths and weaknesses.,Tout le monde a ses forces et ses faiblesses.
"Seriously though, episode 21 made me almost cry while laughing.","Mais sérieusement, l'épisode 21 m'a presque fait pleurer de rire."
It only shows you're not a robot.,Ça montre seulement que tu n'es pas un robot.
How could I be a robot? Robots don't dream.,Comment pourrais-je être un robot ? Les robots ne rêvent pas.
It's not something anyone can do.,Ce n'est pas quelque chose que n'importe qui peut faire.
I don't know if I still have it.,Je ne sais pas si je l'ai encore.
What do you think I've been doing?,Qu'est-ce que tu crois que j'étais en train de faire ?
Don't underestimate my power.,Ne sous-estime pas ma puissance.
My mom doesn't speak English very well.,Ma maman ne parle pas très bien anglais.
My mom doesn't speak English very well.,Ma mère ne parle pas très bien anglais.
I don't speak French well enough!,Je ne parle pas assez bien français !
I was wondering if you were going to show up today.,Je me demandais si tu allais venir aujourd'hui.
Therein lies the problem.,C'est là que réside le problème.
How do you find food in outer space?,Comment trouves-tu de la nourriture dans l'espace ?
All you can do is trust one another.,Vous n'avez rien à faire sauf vous faire confiance.
Everyone wants to meet you. You're famous!,"Tout le monde veut te rencontrer, tu es célèbre !"
Everyone wants to meet you. You're famous!,"Tout le monde veut vous rencontrer, vous êtes célèbres !"
Why are you sorry for something you haven't done?,Pourquoi es-tu désolée pour quelque chose que tu n'as pas fait ?
I utterly despise formal writing!,Je déteste absolument l'écriture formelle !
Foreign people intrigue me.,Les étrangers m'intriguent.
"Whatever I do, she says I can do better.","Quoi que je fasse, elle dit que je peux faire mieux."
What keeps you up so late?,Qu'est-ce qui te retient éveillé si tard ?
You'd be surprised what you can learn in a week.,Tu serais surprise de ce que tu peux apprendre en une semaine.
I don't have anyone who'd travel with me.,Je n'ai personne qui veuille voyager avec moi.
You're not fast enough.,Tu n'es pas assez rapide.
You're not fast enough.,Vous n'êtes pas assez rapide.
You're not fast enough.,Vous n'êtes pas assez rapides.
"Life is hard, but I am harder.","La vie est dure, mais je suis encore plus dur."
"Life is hard, but I am harder.","La vie est dure, mais je suis encore plus dure."
Bearing can be unbearable.,Supporter peut être insupportable.
Stop it! You're making her feel uncomfortable!,Arrête ! Tu la mets mal à l'aise !
Nothing is beautiful but the truth.,Rien n'est beau que le vrai.
"Tomorrow, he will land on the moon.","Demain, il va alunir."
"Tomorrow, he will land on the moon.","Demain, il va se poser sur la lune."
I don't speak Japanese.,Je ne parle pas japonais.
I don't speak Japanese.,Je ne parle pas le japonais.
This is a pun.,C’est un jeu de mots.
Nobody understands me.,Personne ne me comprend.
I learned to live without her.,J'ai appris à vivre sans elle.
I learned to live without her.,J’ai appris à vivre sans elle.
It's useless to keep on thinking any more.,Ça ne sert plus à rien de continuer à réfléchir.
I have too many things on my mind these days.,J'ai trop de choses dans la tête ces jours-ci.
I just wanted to check my email.,Je voulais juste vérifier mes emails.
I just wanted to check my email.,Je voulais juste vérifier mon courrier électronique.
I just wanted to check my email.,Je voulais juste vérifier mes courriels.
Do you really need to ask the question to know the answer?,Est-ce que tu as vraiment besoin de poser la question pour connaître la réponse ?
Do you really need to ask the question to know the answer?,Avez-vous vraiment besoin de poser la question pour connaître la réponse ?
Do you really need to ask the question to know the answer?,As-tu vraiment besoin de poser la question pour connaître la réponse ?
You can't expect me to always think of everything!,Tu peux pas attendre de moi que je pense toujours à tout !
"I suppose that behind each thing we have to do, there's something we want to do...","Je suppose que derrière chaque chose que l'on doit faire, il y a quelque chose que l'on veut faire..."
You really don't have the right priorities!,T'as vraiment pas les bonnes priorités !
Don't expect others to think for you!,N'attends pas que les autres pensent pour toi !
Don't expect others to think for you!,N'espérez pas que les autres pensent pour vous !
You never have time for important things!,Tu n'as jamais le temps pour les choses importantes !
You never have time for important things!,Vous n'avez jamais le temps pour les choses importantes !
It's no use pretending to make me believe that I believe things you don't believe!,Ce n'est pas la peine de faire semblant de me faire croire que je crois des choses que tu ne crois pas !
It would take me too much time to explain to you why it's not going to work.,Ça me prendrait trop de temps pour t'expliquer pourquoi ça ne va pas marcher.
I'm so dumb... I'm trying to explain things to you that I don't understand myself.,Je suis trop bête... J'essaie de t'expliquer des choses que je ne comprends pas moi-même.
"Stop seeing me as a ""normal"" person!",Arrête de me considérer comme quelqu'un de « normal » !
Are you referring to me?,Est-ce que tu parles de moi ?
Are you referring to me?,Vous faites allusion à moi ?
Are you referring to me?,Tu fais allusion à moi ?
"There will always be things I will never learn, I don't have eternity before me!","Il y aura toujours des choses que je n'apprendrai jamais, je n'ai pas l'éternité devant moi !"
It can't be!,C'est pas possible !
"I wish I could care more about my grades but it seems that, at a certain point of my life, I decided they wouldn't be so important anymore.","J'aimerais pouvoir m'inquiéter plus pour mes notes mais il semblerait qu'à un certain moment de ma vie, j'ai décidé que cela n'était finalement pas si important."
A rolling stone gathers no moss is a proverb.,« Pierre qui roule n'amasse pas mousse » est un proverbe.
Would you like something to drink?,Veux-tu quelque chose à boire ?
"Who is it? ""It's your mother.""",« Qui est-ce ? » « C'est ta mère. »
"When will you be back? ""It all depends on the weather.""",« Quand vas-tu revenir ? » « Tout dépend du temps qu'il fera. »
"When will you be back? ""It all depends on the weather.""",« Quand reviendras-tu ? » « Ça dépend complètement du temps ! »
What's the matter? asked the little white rabbit.,« Qu'est-ce qui ne va pas ? » demanda le petit lapin blanc.
What's the matter? asked the little white rabbit.,« Quel est le problème ? » demanda le petit lapin blanc.
"What's going on in the cave? I'm curious. ""I have no idea.""",« Qu'est-ce qu'il se passe dans la grotte ? Je suis curieux. » « Je n'en ai aucune idée. »
"What's going on in the cave? I'm curious. ""I have no idea.""",« Qu'est-ce qu'il se passe dans la grotte ? Je me demande vraiment. » « Je n'en ai pas la moindre idée. »
"We must learn to live together as brothers, or we will perish together as fools.","Nous devons apprendre à vivre ensemble comme des frères, ou nous périrons ensemble comme des idiots."
Uh... How's that working?,Euh... Comment ça marche ?
Uh... How's that working?,Euh... Comment ça fonctionne ?
"To tell you the truth, I am scared of heights. ""You are a coward!""","« Pour être franc, j'ai le vertige. » « Tu es un trouillard ! »"
"To tell you the truth, I am scared of heights. ""You are a coward!""","« Pour te dire la vérité, j'ai le vertige. » « Tu es un lâche ! »"
"Trust me, he said.","« Fais-moi confiance », dit-il."
This is what I was looking for! he exclaimed.,"« C'est ce que j'étais en train de chercher », s'exclama-t-il."
This is what I was looking for! he exclaimed.,"« C'est ce que je cherchais ! », s'écria-t-il."
"This looks pretty interesting, Hiroshi says.","« Ça semble très intéressant », dit Hiroshi."
"This looks pretty interesting, Hiroshi says.","« Ça a l'air plutôt intéressant », dit Hiroshi."
Their communication may be much more complex than we thought.,Il se peut que leur communication soit beaucoup plus complexe que nous le pensions.
"The phone is ringing. ""I'll get it.""",« Le téléphone sonne. » « Je vais répondre. »
"The phone is ringing. ""I'll get it.""",« Le téléphone sonne. » « Je prends. »
"That's very nice of you, Willie answered.","« C'est très gentil de votre part », répondit Willie."
"That's very nice of you, Willie answered.","« C'est très gentil de ta part », répondit Willie."
"Thank you for helping me. ""Don't mention it.""",« Merci de m'aider. » « Il n'y a pas de quoi. »
Someday I'll run like the wind.,Un jour je courrai comme le vent.
"She likes music. ""So do I.""",« Elle aime la musique. » « Moi aussi. »
Please don't cry.,"S'il te plaît, ne pleure pas."
Let me know if there is anything I can do.,Fais-moi savoir s'il y a quoi que ce soit que je puisse faire.
It may be that the happiness awaiting us is not at all the sort of happiness we would want.,Il se peut que le bonheur qui nous attend là-bas ne soit pas du tout le genre de bonheur que nous voudrions.
It is up to you to decide whether we will go there or not.,C'est à toi de décider si nous allons là-bas ou non.
Class doesn't begin until eight-thirty.,La classe ne commence pas avant huit heures et demie.
I want a boat that will take me far away from here.,Je veux un bateau qui m'emmènera loin d'ici.
I want a boat that will take me far away from here.,Je veux un bateau qui m'emmènera très loin d'ici.
"I feel like playing cards. ""So do I.""",« J'ai envie de jouer aux cartes. » « Moi aussi. »
Haven't we met somewhere before? asked the student.,« Ne nous sommes-nous pas rencontrés quelque part avant ? » demanda l'étudiant.
A Japanese would never do such a thing.,Un Japonais ne ferait jamais une telle chose.
Allen is a poet.,Allen est un poète.
The archer killed the deer.,L'archer tua le cerf.
The archer killed the deer.,L'archer a tué le cerf.
Communism will never be reached in my lifetime.,Le communisme ne sera jamais atteint de mon vivant.
Rye was called the grain of poverty.,Le seigle était appelé le grain de la pauvreté.
"In the 1950's, the Finns were cited as having one of the least healthy diets in the world.","Dans les années 50, on citait les Finnois comme ayant les régimes alimentaires les moins sains du monde."
"If you see a mistake, then please correct it.",Si tu vois une faute alors corrige-la s'il te plaît.
"If you see a mistake, then please correct it.","Si vous voyez une erreur, alors veuillez la corriger."
Place the deck of cards on the oaken table.,Place le jeu de cartes sur la table en bois de chêne.
The Germans are very crafty.,Les Allemands sont très ingénieux.
"If you don't eat, you die.","Si on ne mange pas, on meurt."
"If you don't eat, you die.","Si tu ne manges pas, tu meurs."
"How do you spell ""pretty""?","Comment épelles-tu ""pretty"" ?"
"How do you spell ""pretty""?",Comment épelle-t-on « pretty » ?
Why don't we go home?,Et si nous retournions à la maison ?
"I'm sorry, I can't stay long.","Je m'excuse, je ne peux pas rester longtemps."
Ten years is a long time to wait.,10 ans est une longue période à attendre.
"Why aren't you going? ""Because I don't want to.""",« Pourquoi tu n'y vas pas ? » « Parce que je ne veux pas. »
"Why aren't you going? ""Because I don't want to.""",« Pourquoi ne viens-tu pas ? » « Parce que je ne veux pas. »
One million people lost their lives in the war.,Un million de personnes ont perdu la vie pendant la guerre.
One million people lost their lives in the war.,Un million de personnes ont perdu la vie durant la guerre.
It is not rare at all to live over ninety years.,Ce n'est pas rare du tout de vivre plus de 90 ans.
"First, I'm going to do an outline of my new website.","D'abord, je vais faire un schéma de mon nouveau site internet."
"Democracy is the worst form of government, except all the others that have been tried.","La démocratie est la pire forme de gouvernement, mis à part toutes les autres que l'on a essayées."
"When you're beginning to look like the photo in your passport, you should go on a holiday.","Quand on commence à ressembler à la photo de son passeport, on devrait partir en vacances."
"It wasn't me, commissioner!","C'était pas moi, commissaire !"
"Oh, my white pants! And they were new.","Oh, mon pantalon blanc ! Il était neuf."
With so many people around he naturally became a bit nervous.,"Avec autant de personnes autour de lui, il devint naturellement un peu nerveux."
"When I left the train station, I saw a man.","En quittant la gare, j'ai vu un homme."
You're an angel!,T'es un ange !
People from Madrid are weird.,Ils sont fous ces Madrilènes.
"Well, the night is quite long, isn't it?","Eh bien, la nuit est très longue, n'est-ce pas ?"
You're lucky because he didn't bite you.,T'as eu de la chance parce qu'il ne t'a pas mordu.
You're lucky because he didn't bite you.,Tu es chanceux parce qu'il ne t'a pas mordu.
Did you miss me?,Je t'ai manqué ?
Did you miss me?,T'ai-je manqué ?
Did you miss me?,Vous ai-je manqué ?
Are they all the same?,Sont-ils tous identiques ?
Are they all the same?,Sont-ils tous les mêmes ?
Thank you very much!,Merci beaucoup !
Thank you very much!,Merci vraiment.
"Where are the eggs, please?","S'il vous plaît, où sont les œufs ?"
I'll take him.,Je le prends.
It's a surprise.,C'est une surprise.
That's a good idea!,C’est une bonne idée !
Round trip? Only one-way.,Aller-retour ? Aller simple seulement.
It's a pity when somebody dies.,C'est dommage quand quelqu'un meurt.
They were left speechless.,Ils restèrent bouche bée.
Damn! It's not bad!,Putain ! C'est pas mal !
Pull into shape after washing.,Remettre en forme après lavage.
Wash before first wearing.,Laver avant de porter pour la première fois.
Wash before first wearing.,Laver avant utilisation.
Don't open before the train stops.,Ne pas ouvrir avant l'arrêt du train.
Those who live in glass houses should not throw stones.,Ceux qui habitent des maisons de verre ne devraient pas lancer de pierres.
Those who live in glass houses should not throw stones.,Ceux qui vivent dans des maisons de verre ne devraient pas lancer de pierres.
They say love is blind.,On dit que l'amour est aveugle.
They say love is blind.,"Comme on dit, l'amour est aveugle."
"Oh, I'm sorry.","Oh, je suis désolée."
"Math is like love: a simple idea, but it can get complicated.","Les maths sont comme l'amour - une idée simple, mais ça peut devenir compliqué."
The only useful answers are those that raise new questions.,Les seules réponses utiles sont celles qui posent de nouvelles questions.
To have doubts about oneself is the first sign of intelligence.,Douter de soi est le premier signe d'intelligence.
"Poor is not the one who has too little, but the one who wants too much.","Un pauvre n'est pas celui qui a trop peu, mais celui qui veut trop."
"Seeing that you're not surprised, I think you must have known.","Vu que tu n'es pas surpris, je pense que tu étais au courant."
How long does it take to get to the station?,Combien de temps cela prend-il pour arriver à la station ?
This will be a good souvenir of my trip around the United States.,Ça sera un bon souvenir de mon voyage à travers les États-Unis.
Excuse me; allow me to point out three errors in the above article.,"Excusez-moi, permettez-moi de signaler trois erreurs dans l'article ci-dessus."
"It is difficult to keep up a conversation with someone who only says ""yes"" and ""no"".",C'est difficile d'entretenir une conversation avec quelqu'un qui ne dit que « oui » et « non ».
"It is difficult to keep up a conversation with someone who only says ""yes"" and ""no"".",Il est difficile d'entretenir une conversation avec quelqu'un qui ne dit que « oui » et « non ».
Do you speak Italian?,Est-ce que tu parles italien ?
Do you speak Italian?,Parles-tu italien ?
Do you speak Italian?,Parlez-vous italien ?
"I can't think with that noise, she said, as she stared at the typewriter.","Je ne peux pas réfléchir avec ce bruit, dit-elle, en fixant des yeux la machine à écrire."
"It is said that ""Hamlet"" is the most interesting play ever written.","On dit que ""Hamlet"" est la pièce la plus intéressante qui ait jamais été écrite."
May I ask a question?,Puis-je poser une question ?
How do you feel? he inquired.,Comment te sens-tu ? demanda-t-il.
It's quite difficult to master French in 2 or 3 years.,"C'est assez difficile de maîtriser le français en 2, 3 ans."
It's impossible for me to explain it to you.,C'est impossible pour moi de te l'expliquer.
I don't want to spend the rest of my life regretting it.,Je ne veux pas passer le reste de ma vie à le regretter.
It would be fun to see how things change over the years.,Ça serait marrant de voir comment les choses changent au fil des ans.
